timestamp,graph,task,speed,period_us,run,seconds,steal_s
2026-09-23T00:28:18,soc-sign-epinions.txt.gz,light,0.43,4000,2,2.1287,0.06
2026-09-23T00:28:21,soc-sign-epinions.txt.gz,loop,0.26,4000,2,2.8961,0.03
2026-09-23T00:28:24,soc-sign-epinions.txt.gz,heavy,0.26,4000,2,2.8084,0.02
2026-09-23T00:28:28,soc-sign-epinions.txt.gz,mid,0.26,4000,2,4.0241,0.07
2026-09-23T00:28:32,soc-sign-epinions.txt.gz,light,0.26,4000,2,3.7527,0.05
2026-09-23T00:28:33,soc-sign-epinions.txt.gz,loop,1.0,10000,0,0.7266,0.00
2026-09-23T00:28:33,soc-sign-epinions.txt.gz,heavy,1.0,10000,0,0.6914,0.02
2026-09-23T00:28:34,soc-sign-epinions.txt.gz,mid,1.0,10000,0,0.9593,0.01
2026-09-23T00:28:35,soc-sign-epinions.txt.gz,light,1.0,10000,0,0.8564,0.02
2026-09-23T00:28:36,soc-sign-epinions.txt.gz,loop,0.75,10000,0,0.9835,0.06
2026-09-23T00:28:37,soc-sign-epinions.txt.gz,heavy,0.75,10000,0,0.9328,0.01
2026-09-23T00:28:39,soc-sign-epinions.txt.gz,mid,0.75,10000,0,1.3102,0.01
2026-09-23T00:28:40,soc-sign-epinions.txt.gz,light,0.75,10000,0,1.1502,0.03
2026-09-23T00:28:41,soc-sign-epinions.txt.gz,loop,0.5,10000,0,1.4898,0.06
2026-09-23T00:28:43,soc-sign-epinions.txt.gz,heavy,0.5,10000,0,1.4244,0.02
2026-09-23T00:28:45,soc-sign-epinions.txt.gz,mid,0.5,10000,0,1.9934,0.03
2026-09-23T00:28:46,soc-sign-epinions.txt.gz,light,0.5,10000,0,1.8595,0.05
2026-09-23T00:28:48,soc-sign-epinions.txt.gz,loop,0.43,10000,0,1.6566,0.03
2026-09-23T00:28:50,soc-sign-epinions.txt.gz,heavy,0.43,10000,0,1.6347,0.01
2026-09-23T00:28:52,soc-sign-epinions.txt.gz,mid,0.43,10000,0,2.3259,0.03
2026-09-23T00:28:54,soc-sign-epinions.txt.gz,light,0.43,10000,0,2.1517,0.03
2026-09-23T00:28:57,soc-sign-epinions.txt.gz,loop,0.26,10000,0,2.7676,0.03
2026-09-23T00:29:00,soc-sign-epinions.txt.gz,heavy,0.26,10000,0,2.8101,0.05
2026-09-23T00:29:04,soc-sign-epinions.txt.gz,mid,0.26,10000,0,4.0116,0.05
2026-09-23T00:29:07,soc-sign-epinions.txt.gz,light,0.26,10000,0,3.6403,0.06
2026-09-23T00:29:08,soc-sign-epinions.txt.gz,loop,1.0,10000,1,0.7065,0.00
2026-09-23T00:29:09,soc-sign-epinions.txt.gz,heavy,1.0,10000,1,0.6806,0.01
2026-09-23T00:29:10,soc-sign-epinions.txt.gz,mid,1.0,10000,1,0.9484,0.00
2026-09-23T00:29:11,soc-sign-epinions.txt.gz,light,1.0,10000,1,0.8311,0.00
2026-09-23T00:29:12,soc-sign-epinions.txt.gz,loop,0.75,10000,1,0.9513,0.02
2026-09-23T00:29:13,soc-sign-epinions.txt.gz,heavy,0.75,10000,1,0.9277,0.03
