pos,branch,p_size,seconds
11769,0,237,0.17005929299921263
11711,0,97,0.01244303699786542
11641,0,91,0.00965035999979591
11552,0,89,0.008727542000997346
11346,0,7,0.0005150169999978971
11346,1,51,0.004126972999074496
11346,2,30,0.0015121059986995533
11346,3,28,0.0011189779979758896
11346,4,35,0.0018079470028169453
11346,5,6,0.00043963400094071403
11346,6,8,0.0004469300001801457
11346,7,3,0.00037600400173687376
11346,8,1,0.000391364999813959
