graph,n,m,workers,batch,strategy,run,load_s,ordering_s,startup_s,compute_s,total_s,cliques,batches,busy_max,busy_min,busy_sum
ca-AstroPh.txt.gz,18772,198050,4,64,shm,1,0.2374,0.0558,0.1156,0.2190,0.3904,36428,294,0.2174,0.2104,0.8552
ca-AstroPh.txt.gz,18772,198050,4,64,shm,2,0.2374,0.0630,0.1235,0.2351,0.4216,36428,294,0.2339,0.2288,0.9224
ca-AstroPh.txt.gz,18772,198050,8,64,shm,0,0.2374,0.0696,0.1584,0.1663,0.3942,36428,294,0.1624,0.1356,1.2354
ca-AstroPh.txt.gz,18772,198050,8,64,shm,1,0.2374,0.0762,0.1671,0.1719,0.4152,36428,294,0.1699,0.1500,1.2774
ca-AstroPh.txt.gz,18772,198050,8,64,shm,2,0.2374,0.0829,0.1754,0.1738,0.4321,36428,294,0.1718,0.1564,1.2989
ca-HepPh.txt.gz,12008,118489,1,64,shm,0,0.2035,0.0382,0.0926,0.4948,0.6256,14939,188,0.4927,0.4927,0.4927
ca-HepPh.txt.gz,12008,118489,1,64,shm,1,0.2035,0.0311,0.0769,0.4619,0.5700,14939,188,0.4598,0.4598,0.4598
ca-HepPh.txt.gz,12008,118489,1,64,shm,2,0.2035,0.0309,0.0785,0.4579,0.5673,14939,188,0.4559,0.4559,0.4559
ca-HepPh.txt.gz,12008,118489,4,64,shm,0,0.2035,0.0305,0.0823,0.1421,0.2549,14939,188,0.1413,0.1123,0.4975
ca-HepPh.txt.gz,12008,118489,4,64,shm,1,0.2035,0.0323,0.0852,0.1541,0.2715,14939,188,0.1531,0.1211,0.5316
ca-HepPh.txt.gz,12008,118489,4,64,shm,2,0.2035,0.0359,0.0902,0.1754,0.3015,14939,188,0.1695,0.1383,0.5993
ca-HepPh.txt.gz,12008,118489,8,64,shm,0,0.2035,0.0382,0.1123,0.1642,0.3147,14939,188,0.1525,0.0732,0.7817
ca-HepPh.txt.gz,12008,118489,8,64,shm,1,0.2035,0.0419,0.1219,0.1604,0.3242,14939,188,0.1517,0.0729,0.7970
ca-HepPh.txt.gz,12008,118489,8,64,shm,2,0.2035,0.0435,0.1293,0.1661,0.3388,14939,188,0.1648,0.0708,0.8281
soc-sign-epinions.txt.gz,131828,711210,1,64,shm,0,0.6187,0.3329,0.4160,85.2311,85.9801,22226173,2060,85.2092,85.2092,85.2092
soc-sign-epinions.txt.gz,131828,711210,1,64,shm,1,0.6187,0.3270,0.4128,85.1938,85.9336,22226173,2060,85.1718,85.1718,85.1718
soc-sign-epinions.txt.gz,131828,711210,1,64,shm,2,0.6187,0.3312,0.4090,85.4982,86.2384,22226173,2060,85.4762,85.4762,85.4762
soc-sign-epinions.txt.gz,131828,711210,4,64,shm,0,0.6187,0.3261,0.4542,30.1605,30.9409,22226173,2060,30.1537,20.2942,98.0678
soc-sign-epinions.txt.gz,131828,711210,4,64,shm,1,0.6187,0.3275,0.4542,31.2324,32.0142,22226173,2060,31.2251,21.0181,101.6679
soc-sign-epinions.txt.gz,131828,711210,4,64,shm,2,0.6187,0.3308,0.4426,33.7234,34.4968,22226173,2060,33.7092,23.5472,111.7155
soc-sign-epinions.txt.gz,131828,711210,8,64,shm,0,0.6187,0.3362,0.5866,25.6219,26.5447,22226173,2060,25.5975,7.6664,138.1349
soc-sign-epinions.txt.gz,131828,711210,8,64,shm,1,0.6187,0.3826,0.5583,26.6644,27.6054,22226173,2060,26.6372,8.3165,144.6808
soc-sign-epinions.txt.gz,131828,711210,8,64,shm,2,0.6187,0.3312,0.5598,27.0719,27.9629,22226173,2060,27.0447,8.5196,147.5592
